## name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB150604434,0.896,0.143,0.64,0.716,9.6678,1.0421,-21.59,4.45,0.21428571428571427,0.03419961734693877,0.7142857142857143,0.8071975811104778,True,True,True,True,False,False
GRB150605782,0.176,1.243,0.016,0.045,8.2619,1.2928,14.71,12.72,0.09090909090909091,0.6420454545454547,0.09090909090909091,0.6910828878298463,True,True,True,True,True,True
GRB150607330,26.173,0.68,13.824,0.81,10.0836,2.524,68.4368,0.0018,0.07079815076605664,0.0018394048263828573,0.5281778932487678,0.03385384825882458,False,True,True,True,False,False
GRB150609316,0.256,0.276,0.016,0.195,4.6326,0.8436,31.63,14.15,0.8125,0.8759765625000001,0.0625,0.764693335607139,True,True,True,True,True,True
GRB150612702,68.353,2.202,24.32,0.724,7.1776,1.2318,25.09,1.78,0.17228212368147705,0.005550089042860042,0.35580003803783306,0.01560681530390975,False,True,True,True,True,False
GRB150613420,27.392,1.846,11.776,1.056,4.412,1.1392,-0.46,5.96,0.1869158878504673,0.012596624159315225,0.42990654205607476,0.0482244856871881,False,True,True,True,True,False
GRB150613995,46.593,1.639,13.568,0.923,7.0321,1.3576,-7.07,6.53,0.20878672762002873,0.007344481930101669,0.2912025411542506,0.02230160550665966,False,False,True,True,False,False
GRB150614073,5.12,0.923,2.048,0.362,7.3958,1.2698,23.95,3.49,0.2,0.0360546875,0.4,0.10098858275892504,False,True,True,True,True,False
GRB150618674,45.312,1.086,25.856,2.56,5.1631,1.3902,28.54,6.53,0.08474576271186442,0.0020311153404194205,0.5706214689265537,0.05812889648042442,False,True,True,True,True,False
GRB150619287,57.089,2.36,37.633,0.572,16.9799,1.5865,8.64,1.44,0.10762143320079175,0.004448958334422893,0.6591987948641596,0.029034188694397407,False,True,True,False,True,False
GRB150622393,60.673,1.086,29.697,0.923,14.6647,1.6729,33.25,1.0,0.14345755113477165,0.002567779746054456,0.48945989154978325,0.01755507065409533,False,True,True,False,True,False
GRB150627183,64.577,0.59,44.929,0.181,78.4556,2.5316,-51.56,0.05,0.1456865447450331,0.00133104760827492,0.6957430664168358,0.006947087031331989,False,True,True,False,False,False
GRB150628767,0.64,0.634,0.32,0.231,4.5964,0.9659,-66.18,14.68,0.0,0.0,0.5,0.6128705830454746,True,True,True,True,False,False
