name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB250206827,64.257,0.362,45.569,0.724,13.9175,1.3226,-65.03,1.69,0.0637440278880122,0.0003591101062212742,0.7091678727609443,0.011954604035449881,False,True,True,False,False,False
GRB230316546,30.913,1.28,12.032,0.572,10.3874,1.5487,-64.93,1.72,0.21324361918933782,0.00882967788834317,0.3892213631805389,0.024538059612179926,False,False,True,True,False,False
GRB240205662,0.192,1.86,0.064,0.143,2.5724,0.7468,40.8,32.79,0.3333333333333333,3.229166666666667,0.3333333333333333,3.313945079183905,True,True,True,True,False,False
GRB230803061,87.554,27.141,15.36,0.572,52.3865,1.7597,-64.38,3.33,0.7163693263585902,0.22206843647004698,0.1754345889393974,0.05477424861734991,False,False,True,False,False,False
GRB241002260,64.256,4.382,33.536,4.891,6.7339,1.8768,-64.3,3.7,0.0597609561752988,0.004075456143553276,0.5219123505976095,0.08402780748096512,False,True,True,True,False,False
GRB250223430,2.432,0.749,0.96,1.18,2.893,1.0802,43.49,13.15,0.15789473684210528,0.0486279432132964,0.39473684210526316,0.500195678414895,True,True,True,True,False,False
GRB250722465,58.624,1.999,45.568,2.673,4.5364,1.5019,-63.35,12.63,0.12663755458515283,0.0043181712543620444,0.7772925764192139,0.05273954925789026,False,True,False,True,False,False
GRB250406610,20.992,1.145,6.656,0.572,7.2559,1.1665,-63.17,1.0,0.28048780487804875,0.01529909187239738,0.31707317073170727,0.032273572741837696,False,False,True,True,False,False
GRB240525491,0.64,0.286,0.512,0.202,16.4354,5.4646,44.54,8.29,0.10000000000000009,0.04468750000000003,0.8,0.4768913824184707,True,True,True,False,False,False
GRB240127202,0.096,0.653,0.032,0.072,15.0931,2.125,-62.79,29.9,0.0,0.0,0.3333333333333333,2.388184751684637,True,True,True,False,False,False
GRB251130030,19.456,2.29,8.704,1.28,3.3139,1.3316,-60.41,5.08,0.17105263157894735,0.02013314793975069,0.44736842105263164,0.08426684594407761,False,True,True,True,False,False
GRB250319203,58.113,10.037,25.088,1.28,4.346,1.229,-62.32,6.84,0.11453547399032918,0.019782020416101977,0.43171063273277926,0.07774823451747737,False,True,True,True,False,False
GRB240805085,10.752,0.362,5.888,0.362,18.5635,1.1876,-53.5953,0.035,0.23809523809523805,0.008016227324263037,0.5476190476190476,0.038385928656110596,False,False,True,False,False,False
GRB230729294,0.832,1.231,0.128,0.32,5.1285,1.6302,-62.25,12.01,0.6923076923076924,1.0243158284023672,0.15384615384615385,0.446925577061506,True,True,True,True,False,False
GRB251011297,35.073,2.111,12.544,1.379,4.7146,1.0826,-62.0327,0.0011,0.10948592934736122,0.006589821140258306,0.35765403586804667,0.04482527823908655,False,True,True,True,False,False
GRB230614385,14.909,0.602,10.496,0.362,12.9393,1.367,-61.88,1.0,0.08994567040042928,0.00363185281246619,0.7040042927091019,0.0373846864666139,False,True,True,False,False,False
GRB240227195,1.6,0.716,0.512,0.286,5.931,1.1353,-61.17,3.63,0.04,0.017899999999999996,0.32,0.2290366837430196,True,True,True,True,False,False
GRB240606565,11.008,3.114,3.328,1.145,14.2646,2.9781,-60.637,0.07,0.23255813953488372,0.06578724986479179,0.3023255813953489,0.13466042791105168,False,True,True,False,False,False
